agent_type,rep_n,train_n,uncertainty
MB,1,0,1.09971659728908
MB,1,1,0.5800922759877974
MB,1,2,0.5611300141324866
MB,1,3,0.5574087815242614
MB,1,4,0.3748099884399272
MB,1,5,0.3729573791314791
MB,1,6,0.37180284376559475
MB,1,7,0.3717672756877349
MB,1,8,0.3717585491041913
MB,1,9,0.35134571215065863
MB,1,10,0.3513439149261928
MB,1,11,0.3493241061335337
MB,1,12,0.34932400001914743
MB,1,13,0.33261100394679083
MB,1,14,0.31939580262607037
MB,1,15,0.30844435441582296
MB,1,16,0.29927039259256205
MB,1,17,0.2914732751812934
MB,1,18,0.2914732594184102
MB,1,19,0.28477270289908896
MB,1,20,0.28311534303830754
MB,1,21,0.27744112790657394
MB,1,22,0.2725883587855744
MB,1,23,0.26821814532854016
MB,1,24,0.26435074134020276
MB,1,25,0.2609079866731625
MB,1,26,0.257827109808607
MB,1,27,0.25505711767832684
MB,1,28,0.2525561531921535
MB,1,29,0.2502895320856645
MB,1,30,0.248228264689759
MB,1,31,0.24757612534862616
MB,1,32,0.24757612520043581
MB,1,33,0.24574327352515135
MB,1,34,0.24406648215129068
MB,1,35,0.24252846967845776
MB,1,36,0.2411143970157622
MB,1,37,0.24066453935775722
MB,1,38,0.24024702738446257
MB,1,39,0.2398589877612043
MB,1,40,0.23863870973380974
MB,1,41,0.23863870973332724
MB,1,42,0.2375120542218463
MB,1,43,0.2364698805478509
MB,1,44,0.23550418676159335
MB,1,45,0.23522520742785902
MB,1,46,0.23434598011388463
MB,1,47,0.23352879864429654
MB,1,48,0.23276824529733053
MB,1,49,0.23276824529730356
MB,1,50,0.23205949946512427
MB,1,51,0.23205949946511772
MB,1,52,0.23139825662359637
MB,1,53,0.23139825662359492
MB,1,54,0.23078066032030498
MB,1,55,0.23059949759185971
MB,1,56,0.23003250940590658
MB,1,57,0.22950191384146135
MB,1,58,0.22900493608720152
MB,1,59,0.22853906229715681
MB,1,60,0.22810200944810044
MB,1,61,0.2276916993403283
MB,1,62,0.2276916993403283
MB,1,63,0.2273062360855972
MB,1,64,0.2269438865429224
MB,1,65,0.2266030632568392
MB,1,66,0.2262823095285279
MB,1,67,0.22598028631172185
MB,1,68,0.22569576067549169
MB,1,69,0.22569576067549169
MB,1,70,0.22542759561711523
